"","Datetime","AQI","PM2.5","PM10","SO2","CO","NO2","O3_8h","kmean"
"461",2017-01-03,127,96,95,18,1.2,74,73,3
"462",2017-01-04,90,52,56,21,1,72,73,4
"463",2017-01-05,55,26,24,13,0.9,44,85,2
"464",2017-01-06,63,21,27,13,0.7,52,54,2
"465",2017-01-07,58,16,15,13,0.9,48,68,2
"466",2017-01-08,104,77,73,16,1.8,54,12,3
"467",2017-01-09,85,64,70,22,1.3,44,71,4
"468",2017-01-10,107,80,82,19,1.3,54,77,3
"469",2017-01-11,50,30,40,15,0.8,41,77,2
"470",2017-01-12,92,56,62,17,1.1,74,38,4
"471",2017-01-13,130,99,111,31,1.4,69,65,3
"472",2017-01-14,38,22,33,15,0.7,30,77,2
"473",2017-01-15,34,12,24,13,0.6,27,69,2
"474",2017-01-16,51,17,27,14,0.7,42,71,2
"475",2017-01-17,91,40,52,18,0.9,72,50,4
"476",2017-01-18,66,35,40,16,0.8,52,66,4
"477",2017-01-19,103,79,89,21,1.1,63,71,3
"478",2017-01-20,93,67,98,19,1,33,79,4
"479",2017-01-21,70,36,46,16,0.9,58,76,4
"480",2017-01-22,65,44,65,21,1,52,72,4
"481",2017-01-23,43,22,36,17,0.8,35,86,2
"482",2017-01-24,51,29,40,18,0.8,41,95,4
"483",2017-01-25,73,55,61,18,0.9,42,103,4
"484",2017-01-26,72,53,52,17,0.9,46,115,4
"485",2017-01-27,64,42,75,13,0.8,29,82,4
"486",2017-01-28,61,27,72,12,0.6,25,106,2
"487",2017-01-29,80,57,63,14,1.1,32,93,4
"488",2017-01-30,42,22,39,10,0.6,13,82,2
"489",2017-01-31,41,11,19,9,0.5,16,83,2
"490",2017-02-01,45,31,37,12,0.7,20,90,2
"491",2017-02-02,43,21,30,11,0.6,23,86,2
"492",2017-02-03,55,16,24,12,0.7,45,52,2
"493",2017-02-04,78,55,52,12,1.2,64,19,4
"494",2017-02-05,148,116,115,14,1.5,57,58,3
"495",2017-02-06,91,66,65,12,0.9,31,97,4
"496",2017-02-07,45,13,25,10,0.5,27,90,2
"497",2017-02-08,38,15,17,9,0.6,28,77,2
"498",2017-02-09,96,72,72,17,1.1,35,91,4
"499",2017-02-10,57,40,59,20,0.9,42,88,4
"500",2017-02-11,70,43,60,21,1,59,88,4
"501",2017-02-12,98,63,67,20,1.2,79,101,4
"502",2017-02-13,90,59,57,17,0.9,74,112,4
"503",2017-02-14,102,68,65,20,1.1,86,131,4
"504",2017-02-15,90,66,60,18,0.8,55,145,4
"505",2017-02-16,72,39,50,13,0.8,59,90,4
"506",2017-02-17,70,50,72,14,0.8,46,75,4
"507",2017-02-18,50,15,36,13,0.5,41,73,2
"508",2017-02-19,65,37,65,13,0.7,37,119,4
"509",2017-02-20,66,42,80,11,0.7,32,85,4
"510",2017-02-21,46,21,46,9,0.6,25,89,2
"511",2017-02-22,70,55,58,9,1,45,68,4
"512",2017-02-23,104,76,73,14,1,37,94,4
"513",2017-02-24,60,43,50,14,0.8,45,108,4
"514",2017-02-25,106,81,79,18,1.1,75,121,3
"515",2017-02-26,154,120,108,19,1.1,82,141,3
"516",2017-02-27,76,44,41,14,0.8,61,113,4
"517",2017-02-28,65,40,45,13,0.7,52,116,4
"518",2017-03-01,73,52,85,15,0.8,58,99,4
"519",2017-03-02,62,45,61,14,0.8,45,94,4
"520",2017-03-03,68,49,66,16,0.8,53,122,4
"521",2017-03-04,98,58,79,18,0.9,80,125,4
"522",2017-03-05,102,66,66,14,0.9,83,52,4
"523",2017-03-06,50,27,42,9,0.6,30,101,2
"524",2017-03-07,65,36,60,12,0.7,51,111,4
"525",2017-03-08,65,43,66,14,0.8,53,104,4
"526",2017-03-09,102,78,93,19,1,82,120,3
"527",2017-03-10,86,63,74,16,0.8,61,99,4
"528",2017-03-11,90,53,60,13,0.7,43,148,1
"529",2017-03-12,52,26,26,8,0.7,40,103,2
"530",2017-03-13,54,27,39,8,0.7,28,105,2
"531",2017-03-14,55,27,46,10,0.7,34,107,2
"532",2017-03-15,68,30,46,14,0.7,54,115,4
"533",2017-03-16,51,25,38,11,0.6,41,96,2
"534",2017-03-17,65,34,41,11,0.6,51,107,2
"535",2017-03-18,51,30,37,11,0.6,41,101,2
"536",2017-03-19,57,38,40,11,0.7,46,103,2
"537",2017-03-20,72,41,32,8,0.9,57,97,4
"538",2017-03-21,86,63,71,12,0.8,37,140,1
"539",2017-03-22,47,17,26,9,0.6,38,90,2
"540",2017-03-23,48,20,28,8,0.6,40,91,2
"541",2017-03-24,57,39,48,10,0.7,47,107,2
"542",2017-03-25,102,78,90,15,1.1,64,98,4
"543",2017-03-26,102,76,114,18,1,68,119,3
"544",2017-03-27,87,65,90,20,1,64,127,4
"545",2017-03-28,77,37,78,13,0.7,44,133,4
"546",2017-03-29,80,59,79,11,0.9,46,112,4
"547",2017-03-30,57,41,43,8,0.7,40,99,2
"548",2017-03-31,63,36,45,9,0.7,32,116,2
"549",2017-04-01,98,66,88,17,1,79,136,4
"550",2017-04-02,109,83,91,17,1,61,141,4
"551",2017-04-03,103,64,71,13,0.8,42,164,1
"552",2017-04-04,93,47,58,10,0.7,27,152,1
"553",2017-04-05,77,41,66,11,0.9,64,95,4
"554",2017-04-06,95,68,68,13,1,75,57,4
"555",2017-04-07,80,41,37,8,0.9,64,50,4
"556",2017-04-08,73,60,57,10,0.8,58,96,4
"557",2017-04-09,64,31,37,8,0.7,32,117,2
"558",2017-04-10,53,25,29,7,0.7,43,81,2
"559",2017-04-11,75,57,63,9,1.1,61,101,4
"560",2017-04-12,77,44,92,11,0.9,64,109,4
"561",2017-04-13,75,20,73,10,0.6,53,131,4
"562",2017-04-14,111,31,70,13,0.8,50,173,1
"563",2017-04-15,123,43,80,15,0.9,58,186,1
"564",2017-04-16,81,46,62,11,0.9,65,71,4
"565",2017-04-17,90,53,68,12,1.1,57,148,4
"566",2017-04-18,87,43,123,16,0.9,54,145,4
"567",2017-04-19,85,36,108,12,0.8,41,142,1
"568",2017-04-20,85,49,77,10,0.9,38,142,1
"569",2017-04-21,70,51,76,16,1,47,111,4
"570",2017-04-22,86,32,60,10,0.7,29,144,1
"571",2017-04-23,110,37,75,10,0.7,33,172,1
"572",2017-04-24,121,41,85,11,0.7,36,184,1
"573",2017-04-25,74,39,63,10,0.7,43,129,4
"574",2017-04-26,68,23,33,7,0.6,25,122,2
"575",2017-04-27,75,25,48,12,0.7,50,131,4
"576",2017-04-28,120,47,78,17,0.8,70,182,1
"577",2017-04-29,125,56,89,19,0.9,62,188,1
"578",2017-04-30,139,41,76,16,0.7,42,203,1
"579",2017-05-01,75,28,51,11,0.6,33,130,2
"580",2017-05-02,52,16,26,7,0.5,22,103,2
"581",2017-05-03,53,16,32,8,0.5,22,104,2
"582",2017-05-04,42,26,33,7,0.7,34,84,2
"583",2017-05-05,66,48,53,8,0.9,47,61,4
"584",2017-05-06,129,38.1921611322809,53.1469787697333,10,0.7,44,115,1
"585",2017-05-07,148,38.1921611322809,53.1469787697333,10,0.6,42,155,1
"586",2017-05-08,71,28,92,8,0.5,32,98,2
"587",2017-05-09,67,48,64,9,0.9,49,121,4
"588",2017-05-10,144,59,94,15,1,67,209,1
"589",2017-05-11,161,48,86,14,0.9,55,226,1
"590",2017-05-12,69,32,38,8,0.8,48,123,2
"591",2017-05-13,121,49,63,12,0.9,54,184,1
"592",2017-05-14,105,55,72,13,0.8,41,166,1
"593",2017-05-15,64,21,58,12,0.6,36,117,2
"594",2017-05-16,61,15,39,13,0.5,42,114,2
"595",2017-05-17,78,20,50,10,0.6,37,134,2
"596",2017-05-18,97,22,49,10,0.6,29,157,1
"597",2017-05-19,100,27,49,10,0.7,22,160,1
"598",2017-05-20,72,22,42,9,0.6,19,127,2
"599",2017-05-21,68,17,36,8,0.6,18,122,2
"600",2017-05-22,55,14,34,8,0.6,17,107,2
"601",2017-05-23,45,24,32,8,0.7,35,57,2
"602",2017-05-24,52,16,22,8,0.7,23,103,2
"603",2017-05-25,94,38,59,16,0.9,60,153,4
"604",2017-05-26,83,40,56,12,0.6,43,140,1
"605",2017-05-27,113,25,56,15,0.5,42,175,1
"606",2017-05-28,133,29,61,15,0.6,37,197,1
"607",2017-05-29,92,19,39,11,0.5,23,151,2
"608",2017-05-30,96,26,46,12,0.5,22,156,1
"609",2017-05-31,120,52,80,14,0.8,50,182,1
"610",2017-06-01,136,83,100,16,1,61,200,1
"611",2017-06-02,90,44,49,11,0.6,31,148,1
"612",2017-06-03,86,15,36,11,0.4,27,144,2
"613",2017-06-04,77,14,31,10,0.5,19,133,2
"614",2017-06-05,60,17,29,9,0.5,23,112,2
"615",2017-06-06,54,30,41,8,0.7,31,105,2
"616",2017-06-07,155,59,63,13,0.9,39,220,1
"617",2017-06-08,160,79,66,12,0.9,37,225,1
"618",2017-06-09,149,67,72,12,1,40,214,1
"619",2017-06-10,48,27,25,8,0.7,38,76,2
"620",2017-06-11,75,13,18,8,0.5,18,131,2
"621",2017-06-12,63,12,16,7,0.5,25,116,2
"622",2017-06-13,52,17,21,7,0.6,35,103,2
"623",2017-06-14,60,21,33,8,0.5,31,113,2
"624",2017-06-15,80,32,46,9,0.6,41,137,2
"625",2017-06-16,88,34,44,9,0.5,27,146,2
"626",2017-06-17,108,31,42,11,0.5,28,169,1
"627",2017-06-18,73,27,41,10,0.5,18,128,2
"628",2017-06-19,46,17,25,7,0.6,27,93,2
"629",2017-06-20,48,26,25,8,0.6,34,97,2
"630",2017-06-21,50,33,35,8,0.7,33,81,2
"631",2017-06-22,55,12,14,6,0.5,25,107,2
"632",2017-06-23,75,55,47,7,0.8,49,64,4
"633",2017-06-24,60,34,30,7,0.8,49,80,2
"634",2017-06-25,66,49,46,8,0.9,48,50,4
"635",2017-06-26,119,93,82,11,1.1,50,133,4
"636",2017-06-27,123,96,75,10,1.1,49,167,1
"637",2017-06-28,87,50,43,8,0.9,34,145,1
"638",2017-06-29,51,33,31,7,0.8,37,102,2
"639",2017-06-30,100,34,44,8,0.8,43,161,1
"640",2017-07-01,104,45,54,8,0.8,39,165,1
"641",2017-07-02,62,22,39,7,0.6,23,115,2
"642",2017-07-03,101,26,39,8,0.6,26,162,1
"643",2017-07-04,70,21,35,9,0.6,25,125,2
"644",2017-07-05,108,29,48,9,0.8,41,169,1
"645",2017-07-06,125,28,47,9,0.7,33,188,1
"646",2017-07-07,110,29,55,9,0.7,30,171,1
"647",2017-07-08,98,29,51,9,0.7,31,158,1
"648",2017-07-09,68,21,43,10,0.6,26,122,2
"649",2017-07-10,50,20,41,8,0.6,31,101,2
"650",2017-07-11,119,26,44,9,0.6,30,181,1
"651",2017-07-12,159,38,62,10,0.7,36,224,1
"652",2017-07-13,176,44,72,12,0.8,39,241,1
"653",2017-07-14,156,45,74,10,0.8,44,221,1
"654",2017-07-15,141,35,58,9,0.7,22,206,1
"655",2017-07-16,139,22,47,9,0.6,18,203,1
"656",2017-07-17,75,15,41,9,0.5,18,131,2
"657",2017-07-18,149,44,81,11,0.8,58,214,1
"658",2017-07-19,148,42,70,13,0.7,39,213,1
"659",2017-07-20,166,38,65,14,0.7,33,231,1
"660",2017-07-21,200,43,76,15,0.8,38,268,1
"661",2017-07-22,164,50,80,16,0.8,37,229,1
"662",2017-07-23,201,42,69,15,0.8,40,273,1
"663",2017-07-24,205,45,76,16,0.9,42,295,1
"664",2017-07-25,165,55,86,15,0.9,35,230,1
"665",2017-07-26,122,56,62,8,0.9,23,185,1
"666",2017-07-27,98,46,61,11,0.8,23,158,1
"667",2017-07-28,48,18,32,8,0.6,17,96,2
"668",2017-07-29,35,19,31,8,0.6,14,71,2
"669",2017-07-30,33,17,32,7,0.6,12,62,2
"670",2017-07-31,40,17,39,6,0.6,10,81,2
"671",2017-08-01,47,20,46,6,0.6,12,92,2
"672",2017-08-02,54,20,40,7,0.6,13,105,2
"673",2017-08-03,140,27,47,8,0.7,17,204,1
"674",2017-08-04,146,41,60,8,0.8,33,211,1
"675",2017-08-05,83,65,74,7,1.2,66,109,4
"676",2017-08-06,172,84,80,10,1.3,48,237,1
"677",2017-08-07,193,79,95,10,1.1,39,258,1
"678",2017-08-08,58,35,47,9,1,46,103,4
"679",2017-08-09,47,18,26,7,0.8,38,86,2
"680",2017-08-10,173,42,56,10,1,38,238,1
"681",2017-08-11,189,64,83,10,1,51,254,1
"682",2017-08-12,94,44,53,8,0.7,28,153,1
"683",2017-08-13,75,32,45,8,0.7,30,131,2
"684",2017-08-14,70,17,31,8,0.8,36,124,2
"685",2017-08-15,138,57,70,9,1.1,40,202,1
"686",2017-08-16,95,33,41,9,0.8,38,154,1
"687",2017-08-17,115,26,43,10,0.8,49,177,1
"688",2017-08-18,143,22,37,8,0.7,35,208,1
"689",2017-08-19,143,35,55,9,0.7,29,208,1
"690",2017-08-20,46,15,28,6,0.7,37,80,2
"691",2017-08-21,73,30,42,9,0.8,40,128,2
"692",2017-08-22,25,10,25,6,0.6,17,50,2
"693",2017-08-23,35,9,29,6,0.5,15,71,2
"694",2017-08-24,120,22,42,8,0.7,27,183,1
"695",2017-08-25,95,30,47,9,0.9,44,154,1
"696",2017-08-26,70,14,29,8,0.7,20,124,2
"697",2017-08-27,60,13,31,9,0.6,21,112,2
"698",2017-08-28,127,19,41,9,0.6,28,190,1
"699",2017-08-29,52,18,37,10,0.6,25,103,2
"700",2017-08-30,48,9,32,8,0.5,20,97,2
"701",2017-08-31,76,16,35,8,0.6,20,132,2
"702",2017-09-01,85,20,42,8,0.7,20,143,2
"703",2017-09-02,82,20,41,9,0.7,20,139,2
"704",2017-09-03,59,12,31,10,0.6,20,111,2
"705",2017-09-04,55,10,32,8,0.6,20,106,2
"706",2017-09-05,104,24,56,10,0.7,34,165,1
"707",2017-09-06,78,58,76,13,1.1,48,110,4
"708",2017-09-07,48,22,25,7,0.8,40,76,2
"709",2017-09-08,68,17,28,8,0.7,32,122,2
"710",2017-09-09,57,27,38,9,0.8,27,109,2
"711",2017-09-10,80,28,43,9,0.7,27,137,2
"712",2017-09-11,48,25,30,7,1,39,75,2
"713",2017-09-12,83,24,40,8,0.8,25,140,2
"714",2017-09-13,88,33,48,8,0.8,20,146,1
"715",2017-09-14,86,16,42,8,0.6,16,144,2
"716",2017-09-15,44,15,37,6,0.6,18,89,2
"717",2017-09-16,70,15,38,8,0.6,17,125,2
"718",2017-09-17,76,19,44,9,0.7,32,132,2
"719",2017-09-18,168,56,91,13,1,55,233,1
"720",2017-09-19,141,69,88,11,1,49,206,1
"721",2017-09-20,53,25,25,7,0.7,36,104,2
"722",2017-09-21,50,16,24,8,0.7,40,100,2
"723",2017-09-22,83,26,48,11,0.8,67,65,4
"724",2017-09-23,62,28,34,10,0.7,49,98,2
"725",2017-09-24,46,12,12,7,0.7,36,78,2
"726",2017-09-25,56,11,13,7,0.8,45,46,2
"727",2017-09-26,95,55,69,10,1.2,59,154,4
"728",2017-09-27,67,48,49,9,1,35,108,4
"729",2017-09-28,60,16,45,10,0.7,50,81,2
"730",2017-09-29,68,18,45,10,0.7,55,122,2
"731",2017-09-30,48,14,27,8,0.6,38,85,2
"732",2017-10-01,70,23,46,8,0.7,28,124,2
"733",2017-10-02,43,26,37,8,0.9,34,77,2
"734",2017-10-03,50,11,50,7,0.6,17,92,2
"735",2017-10-04,48,9,34,7,0.5,17,96,2
"736",2017-10-05,42,16,33,8,0.6,34,83,2
"737",2017-10-06,71,54,66,16,1.3,52,104,4
"738",2017-10-07,86,47,54,11,0.9,46,144,1
"739",2017-10-08,58,22,28,10,0.7,34,110,2
"740",2017-10-09,43,23,37,9,0.7,35,72,2
"741",2017-10-10,42,18,40,7,0.6,26,84,2
"742",2017-10-11,36,15,21,6,0.8,26,73,2
"743",2017-10-12,45,13,29,7,0.6,28,91,2
"744",2017-10-13,45,9,30,7,0.5,22,91,2
"745",2017-10-14,60,13,37,8,0.6,20,113,2
"746",2017-10-15,50,7,13,7,0.6,16,101,2
"747",2017-10-16,43,8,15,7,0.6,17,87,2
"748",2017-10-17,47,16,40,8,0.6,28,94,2
"749",2017-10-18,46,22,45,9,0.7,33,91,2
"750",2017-10-19,46,25,40,11,0.8,37,81,2
"751",2017-10-20,59,18,34,9,0.6,30,111,2
"752",2017-10-21,88,30,48,10,0.9,27,146,1
"753",2017-10-22,80,62,78,10,1.1,29,130,4
"754",2017-10-23,58,31,65,12,0.8,41,83,4
"755",2017-10-24,56,22,50,11,0.7,42,108,2
"756",2017-10-25,70,26,46,9,0.8,57,123,4
"757",2017-10-26,72,27,40,12,0.7,58,104,4
"758",2017-10-27,71,30,43,11,0.7,57,126,4
"759",2017-10-28,83,32,51,10,0.8,32,140,1
"760",2017-10-29,68,49,76,9,0.9,30,99,4
"761",2017-10-30,43,16,43,9,0.7,29,81,2
"762",2017-10-31,71,19,44,9,0.7,57,87,2
"763",2017-11-01,70,25,51,11,0.8,57,109,4
"764",2017-11-02,98,49,75,13,0.9,80,113,4
"765",2017-11-03,125,92,120,19,1.3,75,141,3
"766",2017-11-04,40,11,33,8,0.6,20,81,2
"767",2017-11-05,56,16,38,9,0.6,47,77,2
"768",2017-11-06,82,34,62,11,0.8,67,83,4
"769",2017-11-07,127,98,133,17,1.5,118,39,3
"770",2017-11-08,130,98,141,23,1.5,74,134,3
"771",2017-11-09,66,16,44,10,0.6,53,81,2
"772",2017-11-10,76,43,80,13,0.9,59,62,4
"773",2017-11-11,49,16,49,10,0.6,35,84,2
"774",2017-11-12,58,17,55,11,0.6,49,77,2
"775",2017-11-13,70,27,52,10,0.7,57,70,4
"776",2017-11-14,80,44,53,11,0.8,65,63,4
"777",2017-11-15,75,30,69,12,0.8,62,92,4
"778",2017-11-16,58,23,30,9,0.7,46,71,2
"779",2017-11-17,42,10,14,8,0.7,32,84,2
"780",2017-11-18,40,15,36,7,0.6,19,81,2
"781",2017-11-19,44,26,43,10,0.7,33,72,2
"782",2017-11-20,48,18,27,9,0.7,40,76,2
"783",2017-11-21,95,49,54,11,1,75,32,4
"784",2017-11-22,88,65,66,13,1,53,86,4
"785",2017-11-23,85,38,96,16,0.9,71,70,4
"786",2017-11-24,113,68,119,23,1.3,107,49,3
"787",2017-11-25,104,56,88,18,0.9,87,83,4
"788",2017-11-26,92,68,101,19,1.1,73,75,3
"789",2017-11-27,62,32,67,13,0.7,49,105,4
"790",2017-11-28,103,60,81,13,1,88,70,4
"791",2017-11-29,111,82,104,11,1.1,52,68,4
"792",2017-11-30,38,18,47,8,0.5,29,77,2
"793",2017-12-01,56,36,72,12,0.6,33,101.551442569407,2
"794",2017-12-02,69,30,50,12,0.9,73,101.551442569407,4
"795",2017-12-03,105,44,59,16,1.2,80,101.551442569407,4
"796",2017-12-04,160,84,87,13,1.2,50,101.551442569407,3
"797",2017-12-05,82,37,60,18,1,56,101.551442569407,4
"798",2017-12-06,109,55,79,19,1.5,93,101.551442569407,3
"799",2017-12-07,121,92,107,20,1.5,105,101.551442569407,3
"800",2017-12-08,89,30,51,14,1,51,101.551442569407,4
"801",2017-12-09,101,49,73,20,1.2,83,101.551442569407,4
"802",2017-12-10,103,76,113,23,1,84,101.551442569407,3
"803",2017-12-11,109,72,96,19,1.4,92,101.551442569407,3
"804",2017-12-12,103,20,36,10,1,44,101.551442569407,4
"805",2017-12-13,48,20,37,10,0.6,38,84,2
"806",2017-12-14,49,20,34,8,0.6,39,62,2
"807",2017-12-15,58,20,28,8,0.7,46,53,2
"808",2017-12-16,82,60,66,11,1,42,62,4
"809",2017-12-17,75,45,69,17,1,61,62,4
"810",2017-12-18,104,49,79,20,1.2,87,50,4
"811",2017-12-19,85,43,72,18,1.2,67,67,4
"812",2017-12-20,102,49,85,19,1,90,44,4
"813",2017-12-21,108,74,102,20,1.4,95,47,3
"814",2017-12-22,107,69,87,17,1.2,95,70,3
"815",2017-12-23,78,54,53,13,0.9,63,80,4
"816",2017-12-24,166,126,165,27,1.5,89,75,3
"817",2017-12-25,83,48,104,16,1,66,76,4
"818",2017-12-26,100,39,67,16,0.9,80,62,4
"819",2017-12-27,79,37,64,13,0.9,63,86,4
"820",2017-12-28,70,19,27,9,0.7,56,61,2
"821",2017-12-29,84,33,42,12,0.7,67,57,4
"822",2017-12-30,98,73,75,12,1,66,50,4
"823",2017-12-31,225,175,194,16,1.9,72,71,3
"824",2018-01-01,123,93,95,13,1.1,63,72,3
"825",2018-01-02,54,27,38,10,0.7,43,62,2
"826",2018-01-03,38,21,31,7,0.6,26,76,2
"827",2018-01-04,34,8,8,6,0.5,27,56,2
"828",2018-01-05,48,26,30,8,0.8,38,54,2
"829",2018-01-06,79,58,60,11,1,54,49,4
"830",2018-01-07,60,21,17,8,1,48,44,2
"831",2018-01-08,124,94,87,12,1.3,47,65,3
"832",2018-01-09,57,28,56,13,0.8,45,62,4
"833",2018-01-10,67,34,73,16,0.8,53,55,4
"834",2018-01-11,70,45,74,21,0.9,56,54,4
"835",2018-01-12,68,33,55,18,0.9,54,43,4
"836",2018-01-13,102,52,71,19,1.1,83,33,4
"837",2018-01-14,77,31,43,13,0.7,61,60,4
"838",2018-01-15,90,37,45,15,0.9,72,47,4
"839",2018-01-16,94,70,69,11,0.9,70,25,4
"840",2018-01-17,133,101,88,11,1.2,62,39,3
"841",2018-01-18,104,78,66,10,0.8,56,64,4
"842",2018-01-19,160,122,127,14,1.1,74,55,3
"843",2018-01-20,112,84,99,14,1,71,57,4
"844",2018-01-21,68,37,47,12,0.7,54,75,4
"845",2018-01-22,80,49,55,10,0.9,64,57,4
"846",2018-01-23,110,83,82,9,0.9,36,61,4
"847",2018-01-24,36,20,31,8,0.5,23,72,2
"848",2018-01-25,39,11,12,6,0.5,31,58,2
"849",2018-01-26,32,14,22,7,0.4,22,64,2
"850",2018-01-27,48,16,22,7,0.5,38,51,2
"851",2018-01-28,39,22,23,7,0.5,31,57,2
"852",2018-01-29,128,97,97,20,1.1,48,72,3
"853",2018-01-30,241,191,185,28,1.8,97,78,3
"854",2018-01-31,224,174,168,25,1.7,108,59,3
"855",2018-02-01,163,124,119,24,1.5,87,75,3
"856",2018-02-02,135,103,111,24,1.2,83,81,3
"857",2018-02-03,43,30,39,10,0.6,29,68,2
"858",2018-02-04,52,36,48,15,0.7,39,71,2
"859",2018-02-05,87,57,78,20,0.9,69,67,4
"860",2018-02-06,59,30,42,13,0.7,47,64,2
"861",2018-02-07,77,25,41,12,0.6,61,69,4
"862",2018-02-08,112,84,94,17,1.1,61,60,3
"863",2018-02-09,83,61,61,13,0.9,64,69,4
"864",2018-02-10,88,65,89,12,0.9,46,68,4
"865",2018-02-11,95,43,140,14,0.8,44,81,4
"866",2018-02-12,87,33,124,15,0.7,37,77,4
"867",2018-02-13,60,32,61,13,0.7,48,105,4
"868",2018-02-14,69,38,74,13,0.8,55,105,4
"869",2018-02-15,52,33,53,10,0.6,29,81,2
"870",2018-02-16,36,19,27,8,0.5,27,72,2
"871",2018-02-17,60,36,47,11,0.6,28,111,2
"872",2018-02-18,41,15,29,9,0.4,25,82,2
"873",2018-02-19,46,22,24,8,0.5,24,91,2
"874",2018-02-20,59,42,48,9,0.6,23,89,2
"875",2018-02-21,49,34,46,9,0.6,24,89,2
"876",2018-02-22,65,47,57,11,0.8,39,78,4
"877",2018-02-23,68,49,46,10,0.7,34,101,2
"878",2018-02-24,52,36,36,10,0.6,34,90,2
"879",2018-02-25,46,32,40,9,0.6,29,90,2
"880",2018-02-26,54,38,44,11,0.6,43,92,2
"881",2018-02-27,67,37,44,11,0.5,28,120,2
"882",2018-02-28,49,32,31,8,0.6,39,73,2
"883",2018-03-01,89,66,67,11,0.8,44,101,4
"884",2018-03-02,41,20,36,8,0.4,28,82,2
"885",2018-03-03,47,28,25,8,0.6,37,71,2
"886",2018-03-04,57,30,29,10,0.6,30,108,2
"887",2018-03-05,44,17,35,8,0.4,22,87,2
"888",2018-03-06,47,18,38,7,0.4,21,94,2
"889",2018-03-07,43,20,27,8,0.4,34,72,2
"890",2018-03-08,64,46,58,8,0.6,27,84,2
"891",2018-03-09,55,38,49,11,0.6,44,74,2
"892",2018-03-10,88,65,67,13,0.7,55,135,4
"893",2018-03-11,82,60,56,11,0.6,53,122,4
"894",2018-03-12,58,23,37,14,0.5,41,109,2
"895",2018-03-13,57,22,37,14,0.5,38,108,2
"896",2018-03-14,38,18,33,14,0.5,29,76,2
"897",2018-03-15,77,40,43,12,0.7,61,42,4
"898",2018-03-16,44,22,43,8,0.4,23,87,2
"899",2018-03-17,46,17,37,7,0.4,25,92,2
"900",2018-03-18,64,27,47,10,0.6,51,77,2
"901",2018-03-19,43,27,30,8,0.5,34,72,2
"902",2018-03-20,64,46,38,9,0.8,48,60,4
"903",2018-03-21,60,29,29,8,0.7,48,48,2
"904",2018-03-22,104,78,78,14,0.9,67,92,4
"905",2018-03-23,117,88,87,14,0.8,61,127,4
"906",2018-03-24,79,58,77,15,0.7,62,116,4
"907",2018-03-25,92,68,79,14,0.6,47,142,1
"908",2018-03-26,80,59,65,16,0.6,50,119,4
"909",2018-03-27,78,57,57,14,0.6,48,124,4
"910",2018-03-28,82,43,55,12,0.6,47,138,1
"911",2018-03-29,54,24,44,9,0.5,43,80,2
"912",2018-03-30,53,24,33,8,0.5,42,47,2
"913",2018-03-31,63,30,51,9,0.5,34,115,2
"914",2018-04-01,83,39,89,14,0.5,35,139,1
"915",2018-04-02,78,42,106,15,0.6,55,63,4
"916",2018-04-03,66,30,81,13,0.5,30,102,2
"917",2018-04-04,47,29,47,8,0.5,31,76,2
"918",2018-04-05,42,25,29,7,0.5,33,69,2
